relative_path,sha256,size_bytes,status,validation,pages,article_id,role,source_url,final_url,filename,retrieval_origin,text_preview,text_path,original_article_id,identity_status,identity_notes,material_kind,file_label,original_role,unit_id,original_relative_path,validation_error,rows,image_size,streams,encoding,transformation,removed_prefix_bytes,raw_response_sha256,raw_response_path
../original_research_archive/legacy/PPRAtlas/archive/files/87c15a0b92cbd1e34d2d.pdf,87c15a0b92cbd1e34d2dc92de24128af926c011215a066c6e238b81ec0aab117,1256575,downloaded_verified,PDF parsed,49,BAL-2026,main,https://pub.epsilon.slu.se/id/eprint/39232/contents,https://pub.epsilon.slu.se/39232/1/kulatska-n-et-al-20260116.pdf,kulatska-n-et-al-20260116.pdf,public_web," 
  
   
 
Ecopath with Ecosim for the Baltic 
Sea (ICES SD 22-32 excluding the 
Gulf of Riga)  
Model description 
Nataliia Kulatska, Maciej Tomczak, Lena Bergström 
Sveriges lantbruksuniversitet, SLU 
Institutionen för akvatiska resurser 
Aqua notes 2026:4 
 
 
Nataliia Kulatska, https://orcid.org/0000-0002-1825-2332, Sveriges lantbruksuniversitet, 
Institutionen för akvatiska resurser,  
Maciej Tomczak, https://orcid.org/0000-0001-5956-0115, Sveriges lantbruksuniversitet, 
Institutionen för akvatiska resurser,  
Lena Bergström, https://orcid.org/0000-0002-8059-8764, Sveriges lantbruksuniversitet, 
Institutionen för akvatiska resurser,  
 
Rapportens innehåll har granskats av:  
Elisabeth Bolund, Sveriges lantbruksuniversitet (SLU), Institutionen för akvatiska resurser  
Ekin Akoglu, Sveriges lantbruksuniversitet (SLU), Institutionen för akvatiska resurser  
 
Rekommenderad citering: Kulatska, N., Tomczak, M., Bergström, L. (2026). Ecopath with 
Ecosim for the Baltic Sea (ICES SD 22-32 excluding the Gulf of 
Riga). Model description. Aqua notes 2026:4. Uppsala: Sveriges 
lantbruksuniversitet, Institutionen för akvatiska resurser. 
https://doi.org/10.54612/a.7s9j8fa2pv 
Publikationsansvarig: Sara Bergek, Sveriges lantbruksuniversitet (SLU),  
  Institutionen för akvatiska resurser  
Redaktör:  Stefan Larsson, Sveriges lantbruksuniversitet (SLU),  
  Institutionen för akvatiska resurser  
Utgivare:   Sveriges lantbruksuniversitet, Institutionen för akvatiska resurser 
Utgivningsår:  2026 
Utgivningsort:  Uppsala 
Illustration framsida:   torsk (t.v.): Fredrik Saarkoppel; braxen (t.h.): SLU 
Upphovsrätt:   Alla bilder används med upphovspersonens tillstånd. 
Serietitel:  Aqua notes 
Delnummer i serien: 2026:4 
ISBN (elektronisk version): 978-91-8124-168-6 
DOI:   https:/",original_research_archive/legacy/PPRAtlas/research/text/87c15a0b92cbd1e34d2d.txt,BAL-2026,,,,,,,,,,,,,,,,
../original_research_archive/legacy/PPRAtlas/archive/files/9dadd884031657e9a517.pdf,9dadd884031657e9a51741ef32a824083acf93a78c217a3a5b271fe83f3161d3,5904752,downloaded_verified,PDF parsed,309,ALE-2007,main,https://apps-afsc.fisheries.noaa.gov/Publications/AFSC-TM/NOAA-TM-AFSC-178.pdf,https://apps-afsc.fisheries.noaa.gov/Publications/AFSC-TM/NOAA-TM-AFSC-178.pdf,NOAA-TM-AFSC-178.pdf,public_web,"NOAA Technical Memorandum NMFS-AFSC-178
 
A Comparison of the Bering Sea, 
Gulf of Alaska, and Aleutian Islands 
Large Marine Ecosystems Through 
Food Web Modeling 
by 
K. Aydin, S. Gaichas, I. Ortiz, D. Kinzey, and N. Friday U.S. DEPARTMENT OF COMMERCE 
National Oceanic and Atmospheric Administration
 
National Marine Fisheries Service
 
Alaska Fisheries Science Center
 
December 2007 
 
NOAA Technical Memorandum NMFS 
The National Marine Fisheries Service's Alaska Fisheries Science Center 
uses the NOAA Technical Memorandum series to issue informal scientific and 
technical publications when complete formal review and editorial processing 
are not appropriate or feasible.  Documents within this series reflect sound 
professional work and may be referenced in the formal scientific and technical 
literature. 
The NMFS-AFSC Technical Memorandum series of the Alaska Fisheries 
Science Center continues the NMFS-F/NWC series established in 1970 by the 
Northwest Fisheries Center.  The NMFS-NWFSC series is currently used by 
the Northwest Fisheries Science Center. 
This document should be cited as follows: 
Aydin, K., S. Gaichas, I. Ortiz, D. Kinzey, and N. Friday. 2007. A 
comparison of the Bering Sea, Gulf of Alaska, and Aleutian Islands 
large marine ecosystems through food web modeling. U.S. Dep. 
Commer., NOAA Tech. Memo. NMFS-AFSC-178, 298 p. 
Reference in this document to trade names does not imply endorsement by 
the National Marine Fisheries Service, NOAA. 
NOAA Technical Memorandum NMFS-AFSC-178
 
A Comparison of the Bering Sea,
 
Gulf of Alaska, and Aleutian Islands
 
Large Marine Ecosystems Through
 
Food Web Modeling
 
by 
K. Aydin1, S. Gaichas1, I. Ortiz2, D. Kinzey2, and N. Friday1 
1
Alaska Fisheries Science Center
 
7600 Sand Point Way N.E.
 
Seattle, WA 981",original_research_archive/legacy/PPRAtlas/research/text/9dadd884031657e9a517.txt,ALE-2007,verified_match,,main_article,Original publication: title and authors verified from downloaded first page,main,,,,,,,,,,,
../original_research_archive/legacy/PPRAtlas/archive/files/e30dfe50f30bf99224c3.pdf,e30dfe50f30bf99224c385c6f59a1754b249e734b4ba8e36a875d4cc12e0fc6f,1758652,downloaded_verified,PDF parsed,16,CAN-2014,main,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0094742&type=printable,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0094742&type=printable,file,public_web,"Assessing the Contribution of Marine Protected Areas to
the Trophic Functioning of Ecosystems: A Model for the
Banc d’Arguin and the Mauritanian Shelf
Sylvie Gue´ nette1*¤, Beyah Meissa 1,2, Didier Gascuel 1
1 UMR Agrocampus Ouest, Inra, Ecologie et sante ´ des e´cosyste`mes, Universite´ Europe´enne de Bretagne, Rennes, France, 2 Institut Mauritanien de Recherches
Oce´anographiques et des Peˆches (IMROP), Nouadhibou, Mauritanie
Abstract
Most modelling studies addressed the effectiveness of marine protected areas (MPA) for fisheries sustainability through
single species approach. Only a few models analysed the potential benefits of MPAs at the ecosystem level, estimating the
potential export of fish biomass from the reserve or analysing the trophic relationships between organisms inside and
outside the MPA. Here, we propose to use food web models to assess the contribution of a MPA to the trophic functioning
of a larger ecosystem. This approach is applied to the Banc d’Arguin National Park, a large MPA located on the Mauritanian
shelf. The ecosystem was modeled using Ecopath with Ecosim, a model that accounts for fisheries, food web structure, and
some aspects of the spatial distribution of species, for the period 1991–2006. Gaps in knowledge and uncertainty were
taken into account by building three different models. Results showed that the Banc d’Arguin contributes about 9 to 13% to
the total consumption, is supporting about 23% of the total production and 18% of the total catch of the Mauritanian shelf
ecosystem, and up to 50% for coastal fish. Of the 29 exploited groups, 15 depend on the Banc for more than 30% of their
direct or indirect consumptions. Between 1991 and 2006, the fishing pressure increased leading to a decrease in biomass
and the catch of high trophic l",original_research_archive/legacy/PPRAtlas/research/text/e30dfe50f30bf99224c3.txt,CAN-2014,consistent,"First-page title Assessing the Contribution of Marine Protected Areas to the Trophic Functioning of Ecosystems: A Model for the Banc d'Arguin and the Mauritanian Shelf; Guenette, Meissa and Gascuel. Legacy title is abbreviated.",,,,,,,,,,,,,,
../original_research_archive/legacy/PPRAtlas/archive/files/eb18ca6633d044094103.docx,eb18ca6633d0440941039fea12b6b827eee8b7e7a9e316875c2b3563b1926a8c,265156,downloaded_verified,ZIP structure and CRC checked,,CAN-2014,supplements,https://doi.org/10.1371/journal.pone.0094742,,pone.0094742.s001.docx,,,,CAN-2014,,,,,,LME_027,07_LME_027_Canary_Current/article_02_CAN-2014_2014/supplements/pone.0094742.s001.docx,,,,,,,,,
../original_research_archive/legacy/PPRAtlas/archive/files/68bfaa4f9fab49d9da78.pdf,68bfaa4f9fab49d9da787b170a68ad0ad4cc3fdcb4670b2bcd997df6f24a76f4,889663,downloaded_verified,PDF parsed,12,HAW-2013,main,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0063797&type=printable,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0063797&type=printable,file,public_web,"Comparison of Coral Reef Ecosystems along a Fishing
Pressure Gradient
Mariska Weijerman 1,2*, Elizabeth A. Fulton 3, Frank A. Parrish 4
1 Joint Institute for Marine and Atmospheric Research, University of Hawai’i at Manoa, Honolulu, Hawaii, United States of America, 2 Wageningen Institute for
Environment and Climate Research, University of Wageningen, Wageningen, The Netherlands, 3 Division of Marine Research, Commonwealth Scientific and Industrial
Research Organisation Hobart, Tasmania, Australia, 4 Protected Species Division, Pacific Islands Fisheries Science Center, Honolulu, Hawaii, United States of America
Abstract
Three trophic mass-balance models representing coral reef ecosystems along a fishery gradient were compared to evaluate
ecosystem effects of fishing. The majority of the biomass estimates came directly from a large-scale visual survey program;
therefore, data were collected in the same way for all three models, enhancing comparability. Model outputs–such as net
system production, size structure of the community, total throughput, production, consumption, production-to-respiration
ratio, and Finn’s cycling index and mean path length–indicate that the systems around the unpopulated French Frigate
Shoals and along the relatively lightly populated Kona Coast of Hawai’i Island are mature, stable systems with a high
efficiency in recycling of biomass. In contrast, model results show that the reef system around the most populated island in
the State of Hawai’i, O’ahu, is in a transitional state with reduced ecosystem resilience and appears to be shifting to an algal-
dominated system. Evaluation of the candidate indicators for fishing pressure showed that indicators at the community
level (e.g., total biomass, community size structure, trophic level of the comm",original_research_archive/legacy/PPRAtlas/research/text/68bfaa4f9fab49d9da78.txt,HAW-2013,consistent,"Opening title/citation and authors are consistent with the intended catalog publication; normalized spacing, ligatures and abbreviated legacy title wording considered. Identity review is not model-input completeness or loadability verification.",,,,,,,,,,,,,,
../original_research_archive/legacy/PPRAtlas/archive/files/0ba75137b3f959700798.docx,0ba75137b3f95970079895e2528973017db223dc2b84f69502fca4fccb089289,93533,downloaded_verified,ZIP structure and CRC checked,,HAW-2013,supplements,https://journals.plos.org/plosone/article/file?type=supplementary&id=info:doi/10.1371/journal.pone.0063797.s010,,pone.0063797.s010_PLOS.docx,,,,HAW-2013,,,,,,LME_010,63_LME_010_Insular_Pacific-Hawaiian/article_01_HAW-2013_2013/supplements/pone.0063797.s010_PLOS.docx,,,,,,,,,
../original_research_archive/legacy/PPRAtlas/archive/files/0095239007a9bca1eb71.pdf,0095239007a9bca1eb716bc317def44b540055c842c27b238cc188bd4c03765f,12237567,downloaded_verified,PDF parsed,20,BEN-2020,main,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2020.00540/pdf,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2020.00540/pdf,pdf,public_web,"fmars-07-00540 July 30, 2020 Time: 18:36 # 1
ORIGINAL RESEARCH
published: 31 July 2020
doi: 10.3389/fmars.2020.00540
Edited by:
Manuel J. Zetina-Rejón,
National Polytechnic Institute
of Mexico (IPN), Mexico
Reviewed by:
Sean Lucey,
Northeast Fisheries Science Center
(NOAA), United States
Howard Townsend,
National Marine Fisheries Service
(NOAA), United States
Pablo Del Monte-Luna,
Centro Interdisciplinario de Ciencias
Marinas (IPN), Mexico
*Correspondence:
Lynne J. Shannon
lynne.shannon@uct.ac.za;
lshannon4@yahoo.co.uk
Specialty section:
This article was submitted to
Marine Fisheries, Aquaculture
and Living Resources,
a section of the journal
Frontiers in Marine Science
Received: 13 March 2020
Accepted: 15 June 2020
Published: 31 July 2020
Citation:
Shannon LJ, Ortega-Cisneros K,
Lamont T, Winker H, Crawford R,
Jarre A and Coll M (2020) Exploring
Temporal Variability in the Southern
Benguela Ecosystem Over the Past
Four Decades Using a Time-Dynamic
Ecosystem Model.
Front. Mar. Sci. 7:540.
doi: 10.3389/fmars.2020.00540
Exploring Temporal Variability in the
Southern Benguela Ecosystem Over
the Past Four Decades Using a
Time-Dynamic Ecosystem Model
Lynne J. Shannon 1*, Kelly Ortega-Cisneros 1,2,3, Tarron Lamont 4,5, Henning Winker 6,7,
Robert Crawford 4, Astrid Jarre 1 and Marta Coll 8
1 Department of Biological Sciences, University of Cape Town, Cape Town, South Africa, 2 Department of Ichthyology
and Fisheries Science, Rhodes University, Grahamstown, South Africa, 3 Institute for Coastal and Marine Research, Nelson
Mandela University, Port Elizabeth, South Africa, 4 Oceans and Coasts Research, Department of Environment, Forestry
and Fisheries, Cape Town, South Africa, 5 Department of Oceanography, University of Cape Town, Cape Town, South Africa,
6 Department of Environm",original_research_archive/legacy/PPRAtlas/research/text/0095239007a9bca1eb71.txt,BEN-2020,consistent,"First-page title Exploring Temporal Variability in the Southern Benguela Ecosystem Over the Past Four Decades Using a Time-Dynamic Ecosystem Model; Shannon et al., DOI10.3389/fmars.2020.00540. Legacy title is abbreviated.",,,,,,,,,,,,,,
../original_research_archive/legacy/PPRAtlas/archive/files/c037fcbcc0ac55852fdf.pdf,c037fcbcc0ac55852fdf73ed8c24801b57b40c5ef5be7124360557f911f0179b,1240885,downloaded_verified,PDF parsed,89,ETP-2003,main,https://www.iattc.org/en-US/Publication/Commission/Bulletin,,Olson_Watters_2003_ETP.pdf,,,,ETP-2003,,,,,,HS_077,09_HS_077_Pacific_Eastern_Central/article_01_ETP-2003_2003/main/Olson_Watters_2003_ETP.pdf,,,,,,,,,
../original_research_archive/legacy/PPRAtlas/archive/files/86b9f6305340c6f90e53.pdf,86b9f6305340c6f90e530700d996056662be6254f7a7cb29248997ce924e4106,15347833,downloaded_verified,PDF parsed,205,SCO-2004,main,https://waves-vagues.dfo-mpo.gc.ca/Library/279625.pdf,,Bundy_2004_Scotian_Shelf_DFO.pdf,,,,SCO-2004,,,,,,LME_008,62_LME_008_Scotian_Shelf/article_01_SCO-2004_2004/main/Bundy_2004_Scotian_Shelf_DFO.pdf,,,,,,,,,
../original_research_archive/legacy/PPRAtlas/archive/files/11e8d0b7fc0539154811.pdf,11e8d0b7fc05391548118e9aa81ad699166e5bae191038d033551baa3b0899a5,1055741,downloaded_verified,PDF parsed,38,CELT-2017,main,https://archimer.ifremer.fr/doc/00377/48771/49169.pdf,https://archimer.ifremer.fr/doc/00377/48771/49169.pdf,49169.pdf,public_web,"1  
Please note that this is an author-produced PDF of an article accepted for publication following peer review. The definitive 
publisher-authenticated version is available on the publisher Web site.  
 
Journal of Marine Systems 
August 2017, Volume 172, Pages 104-117  
http://dx.doi.org/10.1016/j.jmarsys.2017.03.008 
http://archimer.ifremer.fr/doc/00377/48771/ 
© 2017 Elsevier B.V. All rights reserved.   
Achimer 
http://archimer.ifremer.fr 
Trophic models: What do we learn about Celtic Sea and Bay 
of Biscay ecosystems? 
Moullec Fabien 1, 2, Gascuel Didier 1, *, Bentorcha Karim 1, Guénette Sylvie 3, Robert Marianne 4 
 
1 Université Bretagne Loire, Agrocampus Ouest, UMR 985 Ecology and Ecosystems Health, 65 rue de 
Saint Brieuc, CS 84215, 35042 Rennes Cedex, France  
2 IRD, UMR 248 MARBEC, Université de Montpellier, Place E. Bataillon, 34095 Montpellier Cedex, 
France  
3 EcOceans, 12 St Croix, St Andrews, NB E5B 2K5, Canada  
4 Ifremer, Unité de Sciences et Technologies halieutiques, Laboratoire de Technologie et Biologie  
Halieutique, 8 rue François Toullec, F-56325 Lorient Cedex, France 
* Corresponding author : Didier Gascuel, email address : Didier.Gascuel@agrocampus-ouest.fr  
 
Abstract : 
 
Trophic models are key tools to go beyond the single -species approaches used in stock assessments to 
adopt a more holistic view and implement the Ecosystem Approach to Fisheries Management (EAFM). 
This study aims to: (i) analyse the trophic functioning of the Celtic Sea and the Bay of Biscay, (ii) 
investigate ecosystem changes over the 1980 –2013 period and, (iii) explore the response to 
management measures at the food web scale. Ecopath models were built for each ecosystem for years 
1980 and 2013, and Ecosi m models were fitted to time series data of biomass and ",original_research_archive/legacy/PPRAtlas/research/text/11e8d0b7fc0539154811.txt,CELT-2017,,,,,,,,,,,,,,,,
