taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Engraulis ringens,Anchoveta,Small pelagics (<30 cm),Anchovies,Anchovy,,high,explicit_member,Focal model adopts Tam et al. (2008) pp.353-354 membership (Chiaverano 2018 p.30); Engraulis ringens matches the printed species or recorded synonym. Peruvian hake spans three source size classes and uses fixed model catch weights.
Sardinops sagax,South American pilchard,Medium pelagics (30 - 89 cm),Herring-likes,Sardine,,high,explicit_member,Focal model adopts Tam et al. (2008) pp.353-354 membership (Chiaverano 2018 p.30); Sardinops sagax matches the printed species or recorded synonym. Peruvian hake spans three source size classes and uses fixed model catch weights.
Trachurus murphyi,Chilean jack mackerel,Medium pelagics (30 - 89 cm),Perch-likes,Horse mackerel,,high,inherited_model,Focal model adopts Tam et al. (2008) pp.353-354 membership (Chiaverano 2018 p.30); Trachurus murphyi matches the printed species or recorded synonym. Peruvian hake spans three source size classes and uses fixed model catch weights.
Clupeidae,"Herrings, sardines, menhadens",Small pelagics (<30 cm),Herring-likes,Sardine | Other small pelagic fish,0.965236749977 | 0.0347632500232,medium,composite_split,"Clupeidae spans the dedicated Sardinops sardine stock and other small planktivorous pelagics. Family-specific catch weights use identified Sardinops versus other clupeids, not all pelagic catch."
Dosidicus gigas,Jumbo flying squid,Cephalopods,Other fishes & inverts,Jumbo squid,,high,inherited_model,Focal model adopts Tam et al. (2008) pp.353-354 membership (Chiaverano 2018 p.30); Dosidicus gigas matches the printed species or recorded synonym. Peruvian hake spans three source size classes and uses fixed model catch weights.
Scomber japonicus,Pacific chub mackerel,Medium pelagics (30 - 89 cm),Perch-likes,Chub mackerel,,high,inherited_model,Focal model adopts Tam et al. (2008) pp.353-354 membership (Chiaverano 2018 p.30); Scomber japonicus matches the printed species or recorded synonym. Peruvian hake spans three source size classes and uses fixed model catch weights.
Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Small demersal fish | Medium demersal fish | Medium sciaenids,,low,composite_split,"Analyst residual-catch composite, SAU Medium demersals (30 - 89 cm). Candidate residual groups are constrained by source habitat and Table E feeding guilds; dedicated stocks are excluded. Catch-composition weights are estimated, not a source species list."
Merluccius peruanus,Peruvian hake,Medium bathydemersals (30 - 89 cm),Cod-likes,Large hake | Medium hake | Small hake,model_catch,medium,composite_split,Focal model adopts Tam et al. (2008) pp.353-354 membership (Chiaverano 2018 p.30); Merluccius peruanus matches the printed species or recorded synonym. Peruvian hake spans three source size classes and uses fixed model catch weights.
Merluccius gayi,South Pacific hake,Medium bathydemersals (30 - 89 cm),Cod-likes,Unresolved,,unresolved,none,"This is a southern/offshore demersal stock, not the explicitly modelled northern Peruvian hake Merluccius peruanus; the northern model has no corresponding named stock compartment."
Macruronus magellanicus,Patagonian grenadier,Large benthopelagics (>=90 cm),Cod-likes,Unresolved,,unresolved,none,"This is a southern/offshore demersal stock, not the explicitly modelled northern Peruvian hake Merluccius peruanus; the northern model has no corresponding named stock compartment."
