source_article_id,title,doi,landing_page,zotero_key,zotero_doi,zotero_url,download_attempt_count,download_status,main_file_status,downloaded_file_count,download_failure_reason
BOB-2014,User's guide to the Ecopath with Ecosim model of the Bay of Bengal Large Marine Ecosystem,,https://www.boblme.org/documentRepository/BOBLME-2014-Ecology-13.pdf,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
BOB-2019,Ecopath model of the coastal fisheries ecosystem of Bangladesh,,https://ecobase.ecopath.org/,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
HUM-2018,Large jellyfish and forage fishes as energy pathways in the Northern Humboldt Current System,10.1016/j.pocean.2018.04.009,https://repositorio.imarpe.gob.pe/items/1059a1f2-ffe3-4abf-bea8-d0fe11f6d4a8,,,,4,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
HUM-2026,"Analysing ecosystem and demersal-stock dynamics in Chilean Patagonia, 1980–2020",10.1016/j.pocean.2025.103631,https://doi.org/10.1016/j.pocean.2025.103631,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
CAN-2009,Food-web model and data for marine-mammal and fishery interactions in Northwest Africa,,https://ecobase.ecopath.org/,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
NS-2014,Building an Ecopath with Ecosim model of the North Sea,,https://ecobase.ecopath.org/index.php?action=base&m_EEZ=353,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
KUR-2019,"Ecosystem modeling in the western North Pacific using Ecopath, with a focus on small pelagic fishes",,https://www.jstor.org/stable/26789798,G8TQWQKR,10.3354/meps12508,https://www.int-res.com/abstracts/meps/v617-618/p295-305,6,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
KUR-2025,Ecosystem structure and trophodynamics in the Kuroshio–Oyashio Extension area,10.1016/j.ecolmodel.2025.111152,https://doi.org/10.1016/j.ecolmodel.2025.111152,F6F97PHZ,10.1016/j.ecolmodel.2025.111152,https://www.sciencedirect.com/science/article/pii/S0304380025001371,4,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
INDO-1999,Marine ecosystem and fisheries in the Java Sea: an Ecopath assessment,,https://ecobase.ecopath.org/php/protect/base_model.php?action=base&model=410,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
YS-2013,Ecopath assessment of the Yellow Sea ecosystem,,https://ecobase.ecopath.org/,F96YHXTI,10.1007/s00343-013-2013-6,https://doi.org/10.1007/s00343-013-2013-6,3,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
PAT-2005,"Multispecies modelling of northern and central Patagonia, Argentina",10.1139/f05-087,https://doi.org/10.1111/j.1365-2176.2005.00267.x,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
CELT-2016,An Ecopath with Ecosim and Ecospace model for the Celtic Sea,10.13140/RG.2.2.26937.36965,https://doi.org/10.13140/RG.2.2.26937.36965,DWJJHNR6,10.13140/RG.2.2.26937.36965,https://www.researchgate.net/profile/Valentina-Lauria/publication/311952768_An_Ecopath_with_Ecosim_and_Ecospace_for_the_Celtic_Sea/links/5864ca6608ae6eb871adaa0c/An-Ecopath-with-Ecosim-and-Ecospace-for-the-Celtic-Sea.pdf,3,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
BEN-2007,"Updated ecosystem model for the Northern Benguela ecosystem, Namibia",,https://www.researchgate.net/publication/303125785_Updated_ecosystem_model_for_the_Northern_Benguela_ecosystem_Namibia,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
IO-2026,Ecosystem structure and fishing impacts in the oceanic pelagic tropical Indian Ocean,10.2139/ssrn.6636676,https://doi.org/10.2139/ssrn.6636676,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
NZ-2003,"Pilot trophic model for subantarctic water over the Southern Plateau, New Zealand",10.1016/S0022-0981(03)00045-5,https://doi.org/10.1016/S0022-0981(03)00045-5,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
OYA-2020,An Ecopath with Ecosim model for the Pacific coast of eastern Japan,10.1016/j.ecolmodel.2020.109087,https://doi.org/10.1016/j.ecolmodel.2020.109087,VD94J25X,10.1016/j.ecolmodel.2020.109087,https://linkinghub.elsevier.com/retrieve/pii/S0304380020301599,9,downloaded_verified,no_verified_main_file,2,
CAR-2009,Food-web model and data for marine-mammal and fishery interactions in the Caribbean ecosystem,,https://ecobase.ecopath.org/,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
IBER-2019,First representation of the trophic structure and functioning of the Portuguese continental shelf ecosystem,10.3354/meps12724,https://doi.org/10.3354/meps12724,,,,6,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
NBR-2000,A trophic flow model of the Caeté Mangrove Estuary (North Brazil),10.1006/ecss.2000.0611,https://doi.org/10.1006/ecss.2000.0611,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
BLS-2014,An indicator-based evaluation of Black Sea food web dynamics during 1960–2000,10.1016/j.jmarsys.2014.02.010,https://doi.org/10.1016/j.jmarsys.2014.02.010,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
NFL-2001,Fishing on ecosystems: the interplay of fishing and predation in Newfoundland–Labrador,10.1139/f01-074,https://doi.org/10.1139/f01-074,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
GOC-2009,An ecosystem modelling approach to deriving viable harvest strategies for the Northern Gulf of California,10.1002/aqc.978,https://doi.org/10.1002/aqc.978,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
EBR-2005,"Fishing impacts on marine ecosystems off Brazil, with emphasis on the northeastern region",,https://ecobase.ecopath.org/,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
SWP-2013,Ecosystem model of Tasmanian waters explores impacts of climate-change induced changes,,https://ecobase.ecopath.org/,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
WCA-2026,Mapping trophic interactions in the Western Central Atlantic pelagic ecosystem: an Ecopath modeling approach,,https://www.researchgate.net/publication/410668269,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
AAT-2008,Preliminary trophic model of the Antarctic Peninsula Ecosystem (CCAMLR Subarea 48.1),10.1016/j.ecolmodel.2008.06.011,https://doi.org/10.1016/j.ecolmodel.2008.06.011,,,,6,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
GBR-2000,A model of the ecosystem and associated penaeid prawn community in the far Northern Great Barrier Reef,,https://ecobase.ecopath.org/php/protect/base_model.php?action=base&model=54,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
SEAUS-2006,Changes in the structure of demersal fish communities of the southeast Australian continental shelf from 1915 to 1961,,https://ecobase.ecopath.org/,,,,3,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
HUD-2010,"Hudson Bay ecosystem: past, present, and future",,https://ecobase.ecopath.org/,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
BEA-2018,Ecosystem model of the entire Beaufort Sea marine ecosystem,,https://digitalcommons.usf.edu/msc_facpub/261/,LNXQRL7X,,https://nwtdiscoveryportal.enr.gov.nt.ca/geoportaldocuments/Hoover_indicators.pdf,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
KER-2005,An ecosystem model of the Kerguelen Islands' EEZ,,https://ecobase.ecopath.org/,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
ARC-2012,Lancaster Sound through a sunstone: an Ecopath model of mercury bioaccumulation and human exposure,,https://harvest.usask.ca/handle/10388/ETD-2012-01-266,QNJ6SJMD,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
BIMINI-2001,"Preliminary trophic model of a lemon shark (Negaprion brevirostris) nursery at Bimini, Bahamas",,https://elasmo.org/meetings/abstracts/abst2001/,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
GAL-2021,Food web modeling of the southeastern Galapagos shelf ecosystem,10.1016/j.ecolind.2021.108270,https://research.usfq.edu.ec/en/publications/food-web-modeling-of-the-southeastern-galapagos-shelf-ecosystem/,XGQ6LT52,10.1016/j.ecolind.2021.108270,https://www.sciencedirect.com/science/article/pii/S1470160X21009353,6,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
