taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Côtier L pred | Côtier M pred | Côtier M inv | Côtier S pred | Côtier S inv | Dem L pred | Dem L inv | Dem M pred | Dem M inv | Dem S pred | Dem S inv,,low,composite_split,"Medium-demersal unidentified catch is restricted to broad coastal (<40 m) and shelf demersal (20-200 m) fish guilds, with adjacent sizes. Named single-stock groups, pelagic pools and bathyal pools are excluded. Source p.128 describes overlapping coastal/shelf habitats; this is a wide estimated allocation."
Ethmalosa fimbriata,Bonga shad,Medium pelagics (30 - 89 cm),Herring-likes,Ethmalose,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Sardinella,Sardinellas,Small pelagics (<30 cm),Herring-likes,Côtier pel S inv,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Engraulis encrasicolus,European anchovy,Small pelagics (<30 cm),Anchovies,Côtier pel S inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Pseudotolithus,African croakers,Large demersals (>=90 cm),Perch-likes,Bars,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Sardinella aurita,Round sardinella,Small pelagics (<30 cm),Herring-likes,Côtier pel S inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Cephalopoda,"Squids, cuttlefishes, octopuses",Cephalopods,Other fishes & inverts,Céphalopodes,,high,taxonomic_containment,"Source p.125 explicitly includes commercial and noncommercial octopus, cuttlefish and squid in the single cephalopod group."
Brachydeuterus auritus,Bigeye grunt,Small demersals (<30 cm),Perch-likes,Côtier S inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Trachurus,"Jacks, horse mackerels",Medium pelagics (30 - 89 cm),Perch-likes,Pel S inv,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Sardinella maderensis,Madeiran sardinella,Medium pelagics (30 - 89 cm),Herring-likes,Côtier pel S inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Katsuwonus pelamis,Skipjack tuna,Large pelagics (>=90 cm),Tuna & billfishes,Thons majeurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Thunnus albacares,Yellowfin tuna,Large pelagics (>=90 cm),Tuna & billfishes,Thons majeurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Galeoides decadactylus,Lesser African threadfin,Medium demersals (30 - 89 cm),Perch-likes,Petit capitaine,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Pseudotolithus elongatus,Bobo croaker,Medium demersals (30 - 89 cm),Perch-likes,Bars,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
