group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
Phytoplankton,1,non-living / primary producer,-,no catch taxa mapped here,"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,Listed in Supplementary Table S1 with no species ('-'). Takes no catch; no seaweed is landed in this LME's records.
Zooplankton,2,feeding guild,Copepods; Pelagic larva; Chaetognatha; Amphipoda,no catch taxa mapped here,"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"Takes no catch. Sergestid shrimps of the genus Acetes, which are planktonic, are landed but the paper places Acetes chinensis in Shrimps."
Polychaetes,2,taxonomic,Nereis succinea,no catch taxa mapped here,"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,Takes no catch in this LME's records.
Mollusks,2.169354838709677,taxonomic,Bivalves,Mollusca; Pectinidae; Bivalvia; Turbo cornutus; Ruditapes philippinarum; Magallana gigas (23 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"Supplementary Table S1 states the composition as 'Bivalves' only. Bivalve catch records are explicit members; the landed gastropods (Turbo cornutus, Haliotis, Rapana, Gastropoda) enter on the group's taxonomic name, not on its listed membership, and are flagged medium. Cephalopods are a separate group, so the phylum record `Mollusca` was assigned here on its Sea Around Us class (Other demersal invertebrates, TL 2.10) rather than split."
Benthic Crustaceans,2.161129032258064,taxonomic,Gammaridea; Cumacea,no catch taxa mapped here,"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"Small peracarids; the fishery does not land them, so no catch taxon is mapped here and the group is excluded from every crustacean composite."
Echinoderms,2.220235336464297,taxonomic,Ophiuroidea,Echinoidea; Holothuroidea; Miscellaneous aquatic invertebrates; Apostichopus japonicus; Holothuriidae; Tripneustes gratilla (7 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"The stated composition is brittle stars, but the group is named for the phylum and is the model's only echinoderm compartment, so landed urchins and holothurians go here."
Other invertebrates,2,taxonomic,Cnidaria,Scyphozoa; Rhopilema esculentum; Nemopilema nomurai; Miscellaneous aquatic invertebrates; Rhopilema hispidum (5 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"This is the model's jellyfish compartment. It carries the whole Scyphozoa / Rhopilema / Nemopilema catch, 1.9 % of the LME's tonnage."
Crabs,2.322264264264264,taxonomic,Portunus trituberculatus; Charybdis feriatus; Charybdis bimaculata; Portunus sanguinolentus; Charybdis acuta; Portunus argentatus,Miscellaneous marine crustaceans; Portunus trituberculatus; Decapoda; Brachyura; Portunus pelagicus; Charybdis (19 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"Six portunids. The model has no lobster group, so spiny and slipper lobsters (Panulirus, Scyllaridae, Ibacus) are placed here by analogy, following the East China Sea shelf model of Li and Zhang (2012) whose crab group explicitly pooled 'also the lobsters'. Those rows are flagged medium/analogue."
Shrimps,2.314,taxonomic,Solenocera crassicornis; Trachypenaeus curvirostris; Solenocera alticarinata; Parapenaeus fissuroides; Metapenaeus joyneri; Parapenaeopsis hardwickii; Metapenaeopsis barbata; Solenocera koelbeli; Alpheus japonicus; Solenocera melantho; Plesionika izumiae; Parapenaeopsis tenella; Acetes chinensis,Miscellaneous marine crustaceans; Acetes japonicus; Trachysalambria curvirostris; Penaeus chinensis; Squillidae; Dendrobranchiata (18 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"Penaeids, solenocerids, a sergestid, an alpheid and a pandalid. Two catch labels are historical combinations of listed members: Trachysalambria curvirostris = Trachypenaeus curvirostris and Mierspenaeopsis hardwickii = Parapenaeopsis hardwickii. Stomatopods (Squillidae, Oratosquilla oratoria) are not decapods and are not listed; they are placed here because the fishery lands them with the shrimp catch and the only other small-crustacean group is defined as Gammaridea and Cumacea."
Cephalopods,2.819131829142155,taxonomic,Abralia multihamata; Euprymna berryi; Loligo beka; Sepiella maindroni; Ommastrephes bartrami; Sepia esculenta; Octopus ocellatus; Uroteuthis edulis; Sepioteuthis lessoniana; Argonauta argo,Todarodes pacificus; Octopoda; Sepiida; Teuthida; Sepiidae; Cephalopoda (12 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"Squids, cuttlefishes and octopuses; the model's only cephalopod compartment, so every cephalopod catch record lands here."
