source_article_id,title,doi,landing_page,zotero_key,zotero_doi,zotero_url,download_attempt_count,download_status,main_file_status,downloaded_file_count,download_failure_reason
SCS-1993,Stratified models of large marine ecosystems: application to the South China Sea,,https://s3-us-west-2.amazonaws.com/legacy.seaaroundus/doc/Researcher+Publications/dpauly/PDF/1993/Books+and+Chapters/StratifiedModelsOfLargeMarineEcosystems.pdf,,,,1,downloaded_verified,downloaded_verified,1,
SCS-2007,Vulnerability of marine fishes to fishing: from global overview to the northern South China Sea,10.14288/1.0074894,https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,,,,4,downloaded_verified,downloaded_verified,1,
ARAB-2005,Trophic Modelling of the Arabian Sea Ecosystem off Karnataka and Simulation of Fishery Yields,,https://eprints.cmfri.org.in/3945/,,,,5,downloaded_verified,downloaded_verified,1,
BOB-2014,User's guide to the Ecopath with Ecosim model of the Bay of Bengal Large Marine Ecosystem,,https://www.boblme.org/documentRepository/BOBLME-2014-Ecology-13.pdf,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
BOB-2019,Ecopath model of the coastal fisheries ecosystem of Bangladesh,,https://ecobase.ecopath.org/,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
ECS-2022,"Estimating the impact of a seasonal fishing moratorium on the East China Sea ecosystem, 1997–2018",10.3389/fmars.2022.865645,https://doi.org/10.3389/fmars.2022.865645,,,,2,downloaded_verified,downloaded_verified,2,
OKH-2004,Trophic model of the Sea of Okhotsk ecosystem,,https://ecobase.ecopath.org/,,,,3,downloaded_verified,downloaded_verified,1,
OKH-2015,Characterization of the Sea of Okhotsk Ecosystem Based on Ecosystem Modelling,,https://ecobase.ecopath.org/,,,,3,downloaded_verified,downloaded_verified,1,
HUM-2018,Large jellyfish and forage fishes as energy pathways in the Northern Humboldt Current System,10.1016/j.pocean.2018.04.009,https://repositorio.imarpe.gob.pe/items/1059a1f2-ffe3-4abf-bea8-d0fe11f6d4a8,,,,4,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
HUM-2026,"Analysing ecosystem and demersal-stock dynamics in Chilean Patagonia, 1980–2020",10.1016/j.pocean.2025.103631,https://doi.org/10.1016/j.pocean.2025.103631,,,,1,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
CAN-2009,Food-web model and data for marine-mammal and fishery interactions in Northwest Africa,,https://ecobase.ecopath.org/,,,,2,no_verified_file,no_verified_main_file,0,No source file verified in this archive. See source link and retrieval log; this is not proof that the material is unavailable everywhere.
CAN-2014,Marine protected areas and trophic functioning: Banc d'Arguin and Mauritanian Shelf,10.1371/journal.pone.0094742,https://doi.org/10.1371/journal.pone.0094742,,,,19,downloaded_verified,downloaded_verified,13,
GUI-2004,West African marine ecosystems: models and fisheries impacts,,https://www.seaaroundus.org/,,,,2,downloaded_verified,downloaded_verified,1,
ETP-2003,A model of the pelagic ecosystem in the eastern tropical Pacific Ocean,,https://www.iattc.org/en-US/Publication/Commission/Bulletin,,,,1,downloaded_verified,downloaded_verified,1,
