seq,group_name,taxon_descr
1,Phytoplankton,"Phytoplankton dominated by diatoms, followed by dinoflagellates."
2,Benthic producer,Benthic algae.
3,Zooplankton,Acetes spp.; definition: Zooplankton; explicitly includes the landed Mo shrimp Acetes spp.
4,Jellyfish,Medusae of Cnidaria.
5,Polychaetes,Polychaeta.
6,Echinoderms,Echinodermata.
7,Benthic crustaceans,Benthic crustaceans excluding shrimps and crabs; Oratosquilla spp. supplies the P/B estimate.
8,Non-ceph molluscs,Non-cephalopod Mollusca.
9,Sessile/other invertebrates,"Sessile and other invertebrates, separate from polychaetes, echinoderms, crustaceans and molluscs."
10,Shrimps,Metapenaeopsis palmensis; M. barbata; definition: Shrimps including penaeids; Acetes is explicitly in Zooplankton.
11,Crabs,Crabs.
12,Cephalopods,"Loligo edulis; L. chinensis; definition: Cephalopoda, dominated by Loligo squid."
13,Threadfin bream (nemipterids),Nemipterus virgatus; N. bathybius; N. japonicus; definition: Family Nemipteridae.
14,Bigeyes (priacanthids),Family Priacanthidae.
15,Lizard fish (synodontids),Saurida tumbil; S. undosquamis; definition: Family Synodontidae.
16,Juvenile Hairtail (trichiurids),"Trichiurus lepturus; definition: Family Trichiuridae, juvenile stanza younger than 18 months."
17,Adult hairtail (trichiurids),"Trichiurus lepturus; definition: Family Trichiuridae, adult stanza from 18 months."
18,Pomfret (stromateids),Family Stromateidae. Other pomfret-like families are excluded from the stated taxonomic definition.
19,Snappers,Family Lutjanidae.
20,Adult groupers,Family Serranidae; the final table calls this Adult groupers but supplies no separate juvenile grouper compartment.
21,Croakers (≤ 30 cm),Agyrosomus spp.; Pennahia spp.; Pennahia (Agyrosomus) argentatus; definition: Small Sciaenidae <=30 cm; Pennahia is explicitly listed despite differing SAU size classes.
22,Juvenile large croakers,"Larimichthys crocea; definition: Large Sciaenidae >30 cm maximum length, immature fish younger than 24 months."
23,Croakers (> 30 cm),"Larimichthys crocea; definition: Large Sciaenidae >30 cm maximum length, adult fish from 24 months."
24,Demesral fish (≤ 30 cm),"Demersal fish with maximum total length <=30 cm, except taxa in dedicated groups."
25,Juvenile demersal fish (> 30 cm),"Demersal fish with maximum total length >30 cm, juvenile stanza; dedicated groups excluded."
26,Adult demersal fish (> 30 cm),"Demersal fish with maximum total length >30 cm, adult stanza from 18 months; dedicated groups excluded."
27,Benthopelagic fish,Final table has one Benthopelagic fish group. Appendix separately describes small <=30 cm and large >30 cm benthopelagic fish; their relationship to the final single pool is not resolved.
28,Melon seed,Psenopsis anomala; definition: Psenopsis anomala.
29,Pelagic fish (≤ 30 cm),"Pelagic fish with maximum total length <=30 cm, including sardines, thryssa and anchovies."
30,Juvenile large pelagic fish,"Pelagic fish with maximum total length >30 cm, juvenile stanza; source paragraph mistakenly says demersal, but heading, examples and stanza names establish pelagic."
31,Pelagic fish (> 30 cm),"Pelagic fish with maximum total length >30 cm, adult stanza from 18 months; includes scombrids."
32,Demersal sharks and rays,Demersal elasmobranchs. No species list documented.
33,Pelagic sharks and rays,Pelagic elasmobranchs. No species list documented.
34,Seabirds,Seabirds; no species list documented.
35,Pinnipeds,Pinnipeds; no species list documented.
36,Other mammals,Other marine mammals; no species list documented.
37,Marine turtles,Marine turtles; no species list documented.
38,Detritus,Non-living detritus.
