group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
Oceanic sharks,4.359,taxonomic and habitat (oceanic elasmobranchs); whole study area,"Isurus paucus, Isurus oxyrinchus, Alopias vulpinus, Alopias pelagicus, Prionace glauca, Carcharhinus longimanus, Sphyrna lewini, Sphyrna mokarran, Sphyrna zygaena, Carcharhinus falciformis, Alopias superciliosus, Hexanchus griseus, Rhincodon typus, Pteroplatytrygon violacea, Dalatias licha, Echinorhinus brucus, ...","Alopias; Alopias pelagicus; Alopias spp.; Alopias superciliosus; Alopias vulpinus; Batoidea; Carcharhinidae; Carcharhinus; Carcharhinus falciformis; Carcharhinus longimanus; Centrophorus granulosus; Dasyatidae; Elasmobranchii; Hexanchus griseus; Isurus; Isurus oxyrinchus; Isurus paucus; Isurus spp; , ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Area used: 6,205,051 km2, all regions (A1.2). 19 LME_034 catch taxa are mapped onto it, whole or in part."
Coastal elasmobranch,4.257,taxonomic and habitat (shelf sharks and rays); one stock over all EEZs,"Galeocerdo cuvier, Triaenodon obesus, Carcharhinus melanopterus, Carcharhinus limbatus, Carcharhinus dussumieri, Carcharhinus macloti, Carcharhinus albimarginatus, Rhizoprionodon acutus, Scoliodon laticaudus, Scoliodon walbeehmil, Carcharhinus sorrah, Mustelus manazo, Mustelus mosis, Carcharhinus albimarginatus, ...","Batoidea; Carcharhinidae; Carcharhinus; Carcharhinus albimarginatus; Carcharhinus amblyrhynchos; Carcharhinus limbatus; Carcharhinus melanopterus; Carcharhinus obscurus; Carcharhinus sorrah; Dasyatidae; Dasyatis; Elasmobranchii; Galeocerdo cuvier; Himantura; Lamniformes; Myliobatidae; Rajiformes; Rh, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Area used: 4,275,177 km2, every EEZ, high seas excluded (A1.2). 21 LME_034 catch taxa are mapped onto it, whole or in part."
Tuna-like,4.713,taxonomic (large oceanic scombrids and billfishes); whole study area,"Katsuwonus pelamis, Acanthocybium solandri, Thunnus alalunga, Tetrapturus angustirostris, Istiophorus platypterus, Istiompax indica, Makaira nigricans, Xiphias gladius",Acanthocybium solandri; Billfishes; Istiompax indica; Istiophoridae; Istiophorus; Istiophorus platypterus; Katsuwonus pelamis; Makaira; Makaira indica; Makaira nigricans; Tetrapturus angustirostris; Tetrapturus audax; Thunnini; Thunnus; Thunnus alalunga; Thunnus maccoyii; Xiphias gladius; Xiphioidei,Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Area used: 6,205,051 km2, all regions (A1.2). 13 LME_034 catch taxa are mapped onto it, whole or in part."
Coastal scombrids,4.436,taxonomic (neritic scombrids); single stock over all EEZs,"Auxis thazard thazard, Sarda orientalis, Auxis rochei rochei, Euthynnus affinis, Thunnus tonggol, Scomberomorus commerson, Scomberomorus guttatus, Scomberomorus lineolatus, Gymnosarda unicolor",Auxis; Auxis rochei; Auxis rochei rochei; Auxis spp.; Auxis thazard; Auxis thazard thazard; Euthynnus affinis; Gymnosarda unicolor; Kawakawa; Scomberomorini; Thunnini; Thunnus tonggol,Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Area used: 4,275,177 km2, every EEZ, high seas excluded (A1.2). 12 LME_034 catch taxa are mapped onto it, whole or in part."
Jellyfish,3.0,taxonomic (scyphozoans); whole study area,"e.g. Cephea, Rhizostomatidae, Rhopilema, Scyphozoa (based on catches)",Cephea; Rhizostomatidae; Rhopilema,Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Area used: 6,205,051 km2, all regions (A1.2). 2 LME_034 catch taxa are mapped onto it, whole or in part."
Cephalopods,4.138,taxonomic; whole study area,"Sepia sp, Loligo sp, Octopus vulgaris",Cephalopoda; Loliginidae; Loligo; Loligonidae; Octopoda; Octopodidae; Octopus; Octopus vulgaris; Sepia; Sepiidae; Sepioteuthis lessoniana,Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Area used: 6,205,051 km2, all regions (A1.2). 9 LME_034 catch taxa are mapped onto it, whole or in part."
S bathy,3.0,habitat and size (small mesopelagic fishes); deep water only,"Myctophidae, Stomiidae, Diretmidae",,Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Area used: 5,268,883 km2, deep water only (A1.2). No LME_034 catch is mapped onto it; no fishery lands this group."
ML bathy,3.597,habitat and size (medium-large deep-water fishes); deep water only,"e.g. Pontinus macrocephalus, Arctozenus risso, Nemichthys scolopaceus, Lampris guttatus, Alepisaurus ferox, Trachipterus jacksonensis",Alepisaurus ferox; Congridae; Trachipterus,Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Area used: 5,268,883 km2, deep water only (A1.2). 2 LME_034 catch taxa are mapped onto it, whole or in part."
1 L pisc,4.099,"spatial stratum (region 1) x size, habitat and feeding guild (large piscivores)","Sphyraena jello, Sphyraena barracuda, Sphyraena obtusata, Lates calcarifer, Pristis perotteti, Lepturacanthus savala, Trichiurus lepturus, Coryphaena hippurus, Coryphaena equiselis, Pomatomus saltatrix, Albula vulpes, Ablennes hians, Tylosurus crocodilus crocodilus, Strongylura leiura, Chirocentrus dorab, Chirocentrus nudus, ...","Anguilla; Anguilliformes; Belonidae; Centropomidae; Chirocentrus; Chirocentrus dorab; Chirocentrus nudus; Congresox talabonoides; Congridae; Coryphaena; Coryphaena hippurus; Eleutheronema tetradactylum; Ephippidae; Fistulariidae; Labridae; Lates calcarifer; Latidae; Lobotes surinamensis; Megalops cy, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 1 - the Maldives EEZ (915,423 km2) plus the high seas of the study area (1,929,874 km2); its entire shelf, 30,998 km2, is the Maldives shelf, which lies west of the Bay of Bengal LME boundary. Area used: 30,998 km2 (shelf of the region) (A1.2). No LME_034 catch is mapped onto it: region 1's only shelf is the Maldives shelf, which lies outside the Bay of Bengal LME."
1 Carangids,3.977,spatial stratum (region 1) x taxonomic (Carangidae),"Carangoides fulvoguttatus, Caranx sexfasciatus, Gnathanodon speciosus, Caranx melampygus, Seriolina nigrofasciata, Carangoides orthogrammus, Carangoides equula, Carangoides chrysophrys, Carangoides malabaricus, Carangoides hedlandensis, Carangoides ferdau, Carangoides coeruleopinnatus, Carangoides talamparoides, ...","Alectis ciliaris; Alectis indica; Alepes; Carangidae; Carangoides; Carangoides coeruleopinnatus; Carangoides ferdau; Carangoides malabaricus; Carangoides orthogrammus; Caranx; Caranx hippos; Caranx ignobilis; Caranx lugubris; Caranx melampygus; Caranx sexfasciatus; Decapterus; Decapterus russelli; E, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 1 - the Maldives EEZ (915,423 km2) plus the high seas of the study area (1,929,874 km2); its entire shelf, 30,998 km2, is the Maldives shelf, which lies west of the Bay of Bengal LME boundary. Area used: 30,998 km2 (shelf of the region) (A1.2). No LME_034 catch is mapped onto it: region 1's only shelf is the Maldives shelf, which lies outside the Bay of Bengal LME."
