taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Demesral fish (≤ 30 cm) | Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),model_catch,low,composite_split,"Analyst coarse-catch inference from SAU Medium demersals (30 - 89 cm) to residual habitat/size pools in Appendix 6.1 pp.335-339, excluding dedicated named taxa; period model catch weights preserve stanza selectivity."
Trichiurus lepturus,Largehead hairtail,Large benthopelagics (>=90 cm),Perch-likes,Juvenile Hairtail (trichiurids) | Adult hairtail (trichiurids),model_catch,medium,composite_split,"Appendix 6.1.12 pp.329-330 divides Trichiuridae at 18 months. Catch has no life-stage field; fixed juvenile/adult weights use this period model catch, retaining its reported selectivity."
Scyphozoa,True jellyfishes,Jellyfish,Other fishes & inverts,Jellyfish,,high,taxonomic_containment,Appendix 6.1.4 p.324 defines jellyfish as cnidarian medusae.
Synodontidae,"Lizardfishes, sauries",Medium demersals (30 - 89 cm),Other fishes & inverts,Lizard fish (synodontids),,high,taxonomic_containment,Appendix 6.1 pp.327-335 defines Lizard fish (synodontids) by this family or explicitly names Synodontidae; dedicated source placement overrides the SAU class Medium demersals (30 - 89 cm).
Alepes,Crevalles,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Juvenile large pelagic fish | Pelagic fish (> 30 cm),model_catch,medium,composite_split,"Analyst habitat/size inference: pelagic carangid lineage, excluding source dedicated stocks; unaged >30 cm records span juvenile/adult large pelagics (Appendix 6.1.23-24). Family-level Carangidae also includes the small pool."
Carangidae,"Jacks, pompanos",Medium pelagics (30 - 89 cm),Perch-likes,Pelagic fish (≤ 30 cm) | Juvenile large pelagic fish | Pelagic fish (> 30 cm),model_catch,low,composite_split,"Analyst habitat/size inference: pelagic carangid lineage, excluding source dedicated stocks; unaged >30 cm records span juvenile/adult large pelagics (Appendix 6.1.23-24). Family-level Carangidae also includes the small pool."
Mollusca,"Clams, seasnails, squids, octopuses",Other demersal invertebrates,Molluscs,Non-ceph molluscs,,high,taxonomic_containment,"Taxonomic containment in the source benthos subdivision (Appendix 6.1.5 pp.324-325), keeping non-cephalopod molluscs separate from echinoderms and sessile invertebrates."
Acetes japonicus,Akiami paste shrimp,Shrimps,Crustaceans,Zooplankton,,high,explicit_member,"Appendix 6.1.3 p.323 explicitly records Acetes spp. (Mo shrimp) catch in Zooplankton, overriding the SAU shrimp class."
Perciformes,Perch-likes,Medium demersals (30 - 89 cm),Perch-likes,Demesral fish (≤ 30 cm) | Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),model_catch,low,composite_split,"Analyst coarse-catch inference from SAU Medium demersals (30 - 89 cm) to residual habitat/size pools in Appendix 6.1 pp.335-339, excluding dedicated named taxa; period model catch weights preserve stanza selectivity."
Nemipterus,Threadfin breams,Small demersals (<30 cm),Perch-likes,Threadfin bream (nemipterids),,high,taxonomic_containment,Appendix 6.1 pp.327-335 defines Threadfin bream (nemipterids) by this family or explicitly names Nemipterus; dedicated source placement overrides the SAU class Small demersals (<30 cm).
Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",Shrimps,Crustaceans,Zooplankton | Benthic crustaceans | Shrimps | Crabs,,low,composite_split,"Coarse crustacean label spans source Acetes in Zooplankton, other shrimps, crabs and residual benthic crustaceans (Appendix 6.1 pp.323-326); Sergestidae is restricted to the first two. Source membership precedes SAU habitat class."
Leiognathidae,"Slipmouths, ponyfishes",Small benthopelagics (<30 cm),Perch-likes,Benthopelagic fish,,low,habitat_size_guild,"Analyst habitat match to final-table Benthopelagic fish. Appendix 6.1.21-22 pp.337-338 separately describes small and large pools, but only one survives in the authoritative table; its size composition remains uncertain."
Engraulis japonicus,Japanese anchovy,Small pelagics (<30 cm),Anchovies,Pelagic fish (≤ 30 cm),,medium,habitat_size_guild,"Source small-pelagic pool explicitly includes sardines, thryssa and anchovies (Appendix 6.1.23 p.338); extension to the catch lineage uses SAU size as a proxy and is not a full species list."
Scomberomorus,Spanish mackerels,Large pelagics (>=90 cm),Perch-likes,Juvenile large pelagic fish | Pelagic fish (> 30 cm),model_catch,medium,composite_split,"Analyst habitat/size inference to source >30 cm pelagic fish (Appendix 6.1.24 p.339); no age data, so split juvenile/adult using the period model catch."
