taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Benthivores | Piscivores | Planktivores/piscivores | Benthivores/piscivores | Omnivores,,medium,composite_split,Unidentified finfish record classed by Sea Around Us as Medium demersals (30 - 89 cm); apportioned across the model's five multi-species guilds whose listed members are medium demersal or benthopelagic fish. Planktivores is excluded on size (every species Supplementary Table S1 lists there is under 30 cm) and Planktivores/Benthivores on habitat (its listed members are pelagic). Weighted by the catch composition of the identified taxa on those five groups.
Sardinops sagax,South American pilchard,Medium pelagics (30 - 89 cm),Herring-likes,Planktivores,,medium,habitat_size_guild,Sea Around Us reports Northwest Pacific Sardinops (the Japanese pilchard) under this name; it is a small obligate filter-feeding planktivore. Supplementary Table S1 places the analogous clupeid Sardinella aurita in Planktivores.
Trichiurus lepturus,Largehead hairtail,Large benthopelagics (>=90 cm),Perch-likes,Hairtails,,high,explicit_member,Supplementary Table S1 defines Hairtails as the single species Trichiurus lepturus; this record is that species.
Engraulis japonicus,Japanese anchovy,Small pelagics (<30 cm),Anchovies,Planktivores,,medium,habitat_size_guild,"Obligate zooplanktivorous anchovy under 30 cm. Supplementary Table S1 places four engraulids (Thryssa dussumieri, T. vitrirostris, T. kammalensis, Stolephorus commersonnii) in Planktivores; the family is not confined to that group (Setipinna tenuifilis sits in Planktivores/Benthivores), so this is a guild judgement rather than containment."
Scomber japonicus,Pacific chub mackerel,Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/Benthivores,,high,explicit_member,Supplementary Table S1 lists Scomber japonicus under Planktivores/Benthivores; this record is that species.
Scomber,Chub mackerels,Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/Benthivores,,high,taxonomic_containment,"Supplementary Table S1 lists Scomber japonicus in Planktivores/Benthivores; this genus-level record is that genus, and S. japonicus is the East China Sea Scomber stock."
Cololabis saira,Pacific saury,Medium pelagics (30 - 89 cm),Other fishes & inverts,Planktivores,,medium,habitat_size_guild,"Pacific saury is an epipelagic zooplanktivore feeding on copepods and euphausiids, matching the model's plankton-feeding guild; Supplementary Table S1 gives Planktivores a correspondingly mixed roster of small pelagic and mesopelagic filter feeders."
Mollusca,"Clams, seasnails, squids, octopuses",Other demersal invertebrates,Molluscs,Mollusks,,medium,habitat_size_guild,"Phylum-level record, but Sea Around Us classes it Other demersal invertebrates with a trophic level of 2.10, which matches the benthic filter feeders of the Mollusks group ('Bivalves' Supplementary Table S1, model TL 2.17) and not the model's separate Cephalopods group (TL 2.82-2.96), whose catch this dataset reports under its own labels."
Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",Shrimps,Crustaceans,Shrimps | Crabs,,medium,composite_split,"Aggregate crustacean landing classed by Sea Around Us as Shrimps; the model's only two harvested crustacean compartments are Shrimps (13 penaeid, sergestid and caridean species Supplementary Table S1) and Crabs (six portunids). Benthic Crustaceans is excluded because Supplementary Table S1 defines it as Gammaridea and Cumacea, which the fishery does not land. Apportioned by the catch composition of the identified crustaceans in this LME."
Larimichthys polyactis,Yellow croaker,Medium benthopelagics (30 - 89 cm),Perch-likes,Small yellow croakers,,high,explicit_member,Supplementary Table S1 defines Small yellow croakers as the single species Larimichthys polyactis.
Acetes japonicus,Akiami paste shrimp,Shrimps,Crustaceans,Shrimps,,high,taxonomic_containment,Supplementary Table S1 lists Acetes chinensis under Shrimps; this record is another species of that listed genus.
Todarodes pacificus,Japanese flying squid,Cephalopods,Other fishes & inverts,Cephalopods,,high,taxonomic_containment,"Japanese flying squid, an ommastrephid fall inside the model's Cephalopods group, whose members Supplementary Table S1 gives as ten squid, cuttlefish and octopus species (Uroteuthis edulis, Sepia esculenta, Octopus ocellatus, Ommastrephes bartrami and others)."
Sciaenidae,"Drums, croakers",Medium demersals (30 - 89 cm),Perch-likes,Benthivores | Piscivores | Benthivores/piscivores | Omnivores | Large yellow croakers | Small yellow croakers,,medium,composite_split,"Family-level record. Supplementary Table S1 distributes the model's sciaenids across six groups: Johnius belangerii and J. distinctus in Benthivores, Pennahia argentata in Piscivores, Atrobucca nibe and Miichthys miiuy in Benthivores/piscivores, Nibea albiflora and Collichthys lucidus in Omnivores, Larimichthys crocea and L. polyactis in their own single-species groups. Apportioned by the catch composition of the identified taxa on those groups."
Stephanolepis cirrhifer,Threadsail filefish,Small demersals (<30 cm),Other fishes & inverts,Benthivores,,medium,habitat_size_guild,"Threadsail filefish is a small demersal picker on benthic invertebrates; Supplementary Table S1 places the analogous small demersal invertebrate feeders, including the tetraodontiform Diodon holocanthus and the apogonid Ostorhinchus angustatus, in Benthivores."
Pectinidae,Scallops,Other demersal invertebrates,Molluscs,Mollusks,,high,explicit_member,Supplementary Table S1 defines the model's Mollusks group as 'Bivalves'; this record is a bivalve.
Scyphozoa,True jellyfishes,Jellyfish,Other fishes & inverts,Other invertebrates,,high,explicit_member,Supplementary Table S1 defines the model's Other invertebrates group as 'Cnidaria'. True jellyfishes are scyphozoan cnidarians and this is the model's only compartment for them.
Pleuronectidae,Righteye flounders,Small to medium flatfishes (<90 cm),Flatfishes,Benthivores,,medium,habitat_size_guild,"Righteye flounders are demersal feeders on polychaetes, small crustaceans and bivalves, matching the Benthivores definition of Supplementary Table S1 (Parapercis sexfasciata, Acanthocepola limbata, Uranoscopus japonicus, Johnius spp.)."
Muraenesox cinereus,Daggertooth pike conger,Large demersals (>=90 cm),Other fishes & inverts,Piscivores,,high,explicit_member,Supplementary Table S1 lists Muraenesox cinereus under Piscivores.
Pennahia argentata,Silver croaker,Medium benthopelagics (30 - 89 cm),Perch-likes,Benthivores/piscivores,,high,explicit_member,"Supplementary Table S1 lists this species twice, as 'Pennahia argentata' under Piscivores and as 'Pennahia argentatus' under Benthivores/piscivores. The paper's discussion resolves the duplication by naming 'benthivores/piscivores (Pennahia argentatus and Nemipterus virgatus)', and the species' diet of shrimps, crabs and small fish matches that guild. This corrects an inherited assignment to Piscivores."
Gadus macrocephalus,Pacific cod,Large demersals (>=90 cm),Cod-likes,Benthivores/piscivores,,low,analogue,"Pacific cod is a large demersal generalist taking crabs, shrimps, polychaetes and fish, functionally the model's mixed benthivore-piscivore guild (Nemipterus virgatus, Miichthys miiuy, Atrobucca nibe). No gadid appears in Supplementary Table S1 and the species reaches only the northern margin of the East China Sea, so this is analogy, not the paper."
Monacanthidae,Filefishes,Medium reef assoc. fish (30 - 89 cm),Other fishes & inverts,Benthivores | Planktivores/piscivores,,medium,composite_split,"Family-level filefish record. Supplementary Table S1 places the one monacanthid in the model, Aluterus monoceros, in Planktivores/piscivores; the filefish that dominates East China Sea landings, Stephanolepis cirrhifer, is a small benthic invertebrate feeder matching the Benthivores definition, whose listed members include the analogous tetraodontiform Diodon holocanthus. Apportioned by catch composition."
Pampus,Silver pomfrets,Medium benthopelagics (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,taxonomic_containment,Supplementary Table S1 lists Pampus chinensis and Pampus argenteus in Planktivores/piscivores; this genus-level record is that genus.
Bivalvia,Clams,Other demersal invertebrates,Molluscs,Mollusks,,high,explicit_member,Supplementary Table S1 defines the model's Mollusks group as 'Bivalves'; this record is a bivalve.
Trachysalambria curvirostris,Southern rough shrimp,Shrimps,Crustaceans,Shrimps,,high,synonym,"Supplementary Table S1 lists 'Trachypenaeus curvirostris' under Shrimps, the historical combination of this species."
Nemipterus,Threadfin breams,Small demersals (<30 cm),Perch-likes,Benthivores/piscivores,,high,taxonomic_containment,Supplementary Table S1 lists Nemipterus virgatus in Benthivores/piscivores; this genus-level record is that genus.
Scomberomorus,Spanish mackerels,Large pelagics (>=90 cm),Perch-likes,Piscivores,,high,taxonomic_containment,Supplementary Table S1 lists Scomberomorus niphonius and S. guttatus in Piscivores; this genus-level record is that genus.
Portunus trituberculatus,Gazami crab,"Lobsters, crabs",Crustaceans,Crabs,,high,explicit_member,Supplementary Table S1 lists Portunus trituberculatus under Crabs.
Octopoda,"Octopuses, argonauts",Cephalopods,Other fishes & inverts,Cephalopods,,high,taxonomic_containment,"Octopuses fall inside the model's Cephalopods group, whose members Supplementary Table S1 gives as ten squid, cuttlefish and octopus species (Uroteuthis edulis, Sepia esculenta, Octopus ocellatus, Ommastrephes bartrami and others)."
Sepiida,"Cuttlefishes, bobtail squids",Cephalopods,Other fishes & inverts,Cephalopods,,high,taxonomic_containment,"Cuttlefishes and bobtail squids fall inside the model's Cephalopods group, whose members Supplementary Table S1 gives as ten squid, cuttlefish and octopus species (Uroteuthis edulis, Sepia esculenta, Octopus ocellatus, Ommastrephes bartrami and others)."
Larimichthys crocea,Large yellow croaker,Medium benthopelagics (30 - 89 cm),Perch-likes,Large yellow croakers,,high,explicit_member,Supplementary Table S1 defines Large yellow croakers as the single species Larimichthys crocea.
Scomberomorus niphonius,Japanese Spanish mackerel,Large pelagics (>=90 cm),Perch-likes,Piscivores,,high,explicit_member,Supplementary Table S1 lists Scomberomorus niphonius under Piscivores; the paper's discussion names it as the group's exemplar.
Planiliza haematocheilus,So-iny mullet,Medium demersals (30 - 89 cm),Perch-likes,Benthivores,,low,analogue,"So-iny mullet feeds on benthic diatoms, detritus and meiofauna. The model has no herbivore or detritivore fish compartment, so Benthivores, its only bottom-feeding guild, is the closest available home; the mismatch in diet is real and a reviewer may prefer to leave mullets unresolved."
Teuthida,Squids,Cephalopods,Other fishes & inverts,Cephalopods,,high,taxonomic_containment,"Squids fall inside the model's Cephalopods group, whose members Supplementary Table S1 gives as ten squid, cuttlefish and octopus species (Uroteuthis edulis, Sepia esculenta, Octopus ocellatus, Ommastrephes bartrami and others)."
Penaeus chinensis,Fleshy prawn,Shrimps,Crustaceans,Shrimps,,high,taxonomic_containment,"Fleshy prawn fall inside the model's Shrimps group, which Supplementary Table S1 fills with thirteen penaeid, solenocerid, sergestid and caridean species including Metapenaeus joyneri, Parapenaeopsis hardwickii and Metapenaeopsis barbata."
Oncorhynchus,"Salmons, trouts",Large benthopelagics (>=90 cm),"Salmon, smelts, etc",Planktivores/piscivores,,low,analogue,"At sea Pacific salmon feed on euphausiids, amphipods, squid and small fish, which is the mixed plankton-and-fish guild the model defines with Decapterus maruadsi and Trachurus japonicus. The model has no anadromous or subarctic compartment and no salmonid appears in Supplementary Table S1, and salmon reach the East China Sea only at its northern margin, so this is an analogue placement a reviewer may prefer to leave unresolved."
Carangidae,"Jacks, pompanos",Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/piscivores | Omnivores,,medium,composite_split,"Family-level record. Supplementary Table S1 places the model's carangids in exactly two groups: Decapterus maruadsi, Trachurus japonicus and Parastromateus niger in Planktivores/piscivores, and Caranx sexfasciatus in Omnivores. Apportioned by the catch composition of the identified carangids in this LME."
Psenopsis anomala,Pacific rudderfish,Small benthopelagics (<30 cm),Perch-likes,Planktivores/Benthivores | Planktivores/piscivores,equal,low,composite_split,"Supplementary Table S1 lists this exact species twice, once under Planktivores/Benthivores and once under Planktivores/piscivores, and gives no basis for preferring either; the candidate set is therefore exact but the split is arbitrary, so equal weights are used."
Squillidae,Squilla mantis shrimps,Shrimps,Crustaceans,Shrimps,,medium,analogue,"Mantis shrimps are stomatopods, not decapods, and appear nowhere in Supplementary Table S1, but Sea Around Us classes them under Shrimps and the East China Sea trawl fishery lands them with the shrimp catch; the model has no other compartment of comparable size and habitat (Benthic Crustaceans is defined as Gammaridea and Cumacea)."
Sparidae,"Porgies, seabreams",Medium benthopelagics (30 - 89 cm),Perch-likes,Omnivores,,medium,habitat_size_guild,"Porgies and seabreams take a wide mix of benthic invertebrates, algae and small fish; Supplementary Table S1 places the sparid Acanthopagrus schlegelii in Omnivores."
Alepes,Crevalles,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Planktivores/piscivores,,medium,habitat_size_guild,Crevalles are small carangids taking zooplankton and small fish; Supplementary Table S1 places the comparable carangids Decapterus maruadsi and Trachurus japonicus in Planktivores/piscivores.
Sepiidae,Cuttlefishes,Cephalopods,Other fishes & inverts,Cephalopods,,high,taxonomic_containment,"Cuttlefishes fall inside the model's Cephalopods group, whose members Supplementary Table S1 gives as ten squid, cuttlefish and octopus species (Uroteuthis edulis, Sepia esculenta, Octopus ocellatus, Ommastrephes bartrami and others)."
Harpadon nehereus,Bombay-duck,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,Bombay duck,,high,explicit_member,"Supplementary Table S1 defines Bombay duck as Harpadon nehereus; the same species is also listed under Piscivores, but the dedicated single-species group is the model's own compartment for this stock and takes the record."
Katsuwonus pelamis,Skipjack tuna,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,habitat_size_guild,"Skipjack tuna is an epipelagic piscivore; Supplementary Table S1 puts the comparable scombrid Auxis thazard and the epipelagic Coryphaena hippurus in Piscivores, so the model's top fish-eating guild does extend to oceanic predators."
Cephalopoda,"Squids, cuttlefishes, octopuses",Cephalopods,Other fishes & inverts,Cephalopods,,high,taxonomic_containment,"The cephalopod class record fall inside the model's Cephalopods group, whose members Supplementary Table S1 gives as ten squid, cuttlefish and octopus species (Uroteuthis edulis, Sepia esculenta, Octopus ocellatus, Ommastrephes bartrami and others)."
Nemipteridae,"Threadfins, whiptail breams",Small demersals (<30 cm),Perch-likes,Benthivores/piscivores,,high,taxonomic_containment,Supplementary Table S1 lists the nemipterid Nemipterus virgatus in Benthivores/piscivores; this family record is that family.
Thunnus albacares,Yellowfin tuna,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,habitat_size_guild,Yellowfin tuna is an epipelagic piscivore; Supplementary Table S1 places the scombrid Auxis thazard and the epipelagic Coryphaena hippurus in Piscivores.
Trachurus japonicus,Japanese jack mackerel,Medium demersals (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,explicit_member,Supplementary Table S1 lists Trachurus japonicus under Planktivores/piscivores.
Rhopilema esculentum,Flame jellyfish,Jellyfish,Other fishes & inverts,Other invertebrates,,high,explicit_member,Supplementary Table S1 defines the model's Other invertebrates group as 'Cnidaria'. The flame jellyfish are scyphozoan cnidarians and this is the model's only compartment for them.
Mugil cephalus,Flathead grey mullet,Large benthopelagics (>=90 cm),Perch-likes,Benthivores,,low,analogue,"Flathead grey mullet feeds on benthic microalgae and detritus; the model has no herbivore or detritivore fish group, so it is placed in the only bottom-feeding guild, with the same caveat as the other mullets."
Dendrobranchiata,Shrimps and prawns,Shrimps,Crustaceans,Shrimps,,high,taxonomic_containment,"Penaeoid prawns fall inside the model's Shrimps group, which Supplementary Table S1 fills with thirteen penaeid, solenocerid, sergestid and caridean species including Metapenaeus joyneri, Parapenaeopsis hardwickii and Metapenaeopsis barbata."
Pagrus major,Japanese seabream,Large demersals (>=90 cm),Perch-likes,Omnivores,,medium,habitat_size_guild,"Red seabream is a generalist on crustaceans, molluscs, echinoderms and small fish; Supplementary Table S1 places the sparid Acanthopagrus schlegelii in Omnivores."
Decapoda,"Crabs, lobsters, shrimps","Lobsters, crabs",Crustaceans,Crabs | Shrimps,,medium,composite_split,"Order-level record spanning both of the model's decapod compartments. Sea Around Us classes it Lobsters, crabs and the same dataset carries separate Dendrobranchiata and Brachyura records, so this residual is reptant-dominated; catch-composition weighting, which favours Shrimps, is therefore a lower bound on the crab share."
Turbo cornutus,Horned turban,Other demersal invertebrates,Molluscs,Mollusks,,medium,taxonomic_containment,"The horned turban fall inside the model's Mollusks group by name, but Supplementary Table S1 states its composition as bivalves only, so a gastropod is included on the group's taxonomic name rather than on its listed membership."
Conger myriaster,Whitespotted conger,Medium demersals (30 - 89 cm),Other fishes & inverts,Benthivores/piscivores,,medium,habitat_size_guild,Whitespotted conger takes both benthic crustaceans and small fish; Supplementary Table S1 places the congrid Ariosoma anago in Benthivores/piscivores.
Congridae,"Conger, garden eels",Large demersals (>=90 cm),Other fishes & inverts,Benthivores | Benthivores/piscivores,,medium,composite_split,Family-level record. Supplementary Table S1 splits the model's congrids: Uroconger lepturus and Rhynchoconger ectenurus sit in Benthivores while Ariosoma anago sits in Benthivores/piscivores. Apportioned by catch composition.
Seriola,Amberjacks,Large benthopelagics (>=90 cm),Perch-likes,Piscivores,,medium,habitat_size_guild,"Amberjacks are large carangid piscivores, unlike the plankton-and-fish scads Supplementary Table S1 lists in Planktivores/piscivores; they belong in the model's fish-eating guild."
Ilisha elongata,Elongate ilisha,Medium pelagics (30 - 89 cm),Herring-likes,Omnivores,,high,explicit_member,Supplementary Table S1 lists Ilisha elongata (spelled 'Ilisha elongate') under Omnivores.
Sebastes,Redfishes,Large reef assoc. fish (>=90 cm),Scorpionfishes,Benthivores/piscivores,,medium,habitat_size_guild,"Rockfishes are demersal ambush predators taking both benthic crustaceans and fish, the mixed guild of Supplementary Table S1 (Nemipterus virgatus, Priacanthus macracanthus)."
Epinephelus,"Seabasses, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Piscivores,,medium,habitat_size_guild,"Groupers are ambush piscivores on the shelf and its hard bottoms, matching the model's fish-eating guild."
Loliginidae,Common pencil squids,Cephalopods,Other fishes & inverts,Cephalopods,,high,taxonomic_containment,"Pencil squids fall inside the model's Cephalopods group, whose members Supplementary Table S1 gives as ten squid, cuttlefish and octopus species (Uroteuthis edulis, Sepia esculenta, Octopus ocellatus, Ommastrephes bartrami and others)."
Stromateidae,Butterfishes,Small benthopelagics (<30 cm),Perch-likes,Planktivores/piscivores,,high,taxonomic_containment,Supplementary Table S1 lists the stromateids Pampus chinensis and Pampus argenteus in Planktivores/piscivores; this family record is that family.
Brachyura,Marine crabs,"Lobsters, crabs",Crustaceans,Crabs,,high,taxonomic_containment,"True crabs fall inside the model's Crabs group, which Supplementary Table S1 fills with six portunids (Portunus trituberculatus, Charybdis feriatus, C. bimaculata, P. sanguinolentus, C. acuta, P. argentatus)."
Octopodidae,Octopuses,Cephalopods,Other fishes & inverts,Cephalopods,,high,taxonomic_containment,"Octopuses fall inside the model's Cephalopods group, whose members Supplementary Table S1 gives as ten squid, cuttlefish and octopus species (Uroteuthis edulis, Sepia esculenta, Octopus ocellatus, Ommastrephes bartrami and others)."
Clupeidae,"Herrings, sardines, menhadens",Small pelagics (<30 cm),Herring-likes,Planktivores,,medium,habitat_size_guild,"Family record for filter-feeding herrings and sardines; Supplementary Table S1 places the clupeid Sardinella aurita in Planktivores. The one clupeiform the paper puts elsewhere, Ilisha elongata (Omnivores), is reported separately by Sea Around Us."
Ammodytes personatus,Pacific sandlance,Small demersals (<30 cm),Perch-likes,Planktivores,,medium,habitat_size_guild,"Pacific sandlance is a small copepod-feeding schooling fish under 30 cm, matching the Planktivores roster of Supplementary Table S1."
Ruditapes philippinarum,Japanese carpet shell,Other demersal invertebrates,Molluscs,Mollusks,,high,explicit_member,Supplementary Table S1 defines the model's Mollusks group as 'Bivalves'; this record is a bivalve.
Dussumieria,Rainbow sardines,Small pelagics (<30 cm),Herring-likes,Planktivores,,medium,habitat_size_guild,"Rainbow sardines are small round herrings feeding on zooplankton, the functional type Supplementary Table S1 lists in Planktivores as Sardinella aurita."
Scombridae,"Mackerels, tunas, bonitos",Medium pelagics (30 - 89 cm),Perch-likes,Piscivores | Planktivores/Benthivores,,medium,composite_split,"Family-level record. Supplementary Table S1 places Scomber japonicus in Planktivores/Benthivores and Scomberomorus niphonius, S. guttatus and Auxis thazard in Piscivores, so the family spans exactly these two groups. Apportioned by catch composition."
Paralichthyidae,Largetooth flounders,Small to medium flatfishes (<90 cm),Flatfishes,Piscivores,,medium,habitat_size_guild,"Largetooth flounders are ambush piscivores as adults, unlike the invertebrate-feeding righteye flounders, so they belong in the model's fish-eating guild."
Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,Sharks | Benthivores,,medium,composite_split,"The model has one shark group (Scoliodon laticaudus Supplementary Table S1) and no ray group: Supplementary Table S1 places the batoids Narcine lingula and Dasyatis zugei in Benthivores. A record spanning sharks, skates and rays is therefore apportioned between those two groups by catch composition."
Konosirus punctatus,Dotted gizzard shad,Small pelagics (<30 cm),Herring-likes,Planktivores,,medium,habitat_size_guild,"Dotted gizzard shad is a small clupeid filter feeder on phytoplankton and zooplankton, matching Planktivores, where Supplementary Table S1 places Sardinella aurita."
Auxis,Bullet and frigate tunas,Medium pelagics (30 - 89 cm),Tuna & billfishes,Piscivores,,high,taxonomic_containment,Supplementary Table S1 lists Auxis thazard in Piscivores; this genus-level record is that genus.
Tetraodontidae,"Puffers, tobies",Large reef assoc. fish (>=90 cm),Other fishes & inverts,Benthivores/piscivores,,high,taxonomic_containment,Supplementary Table S1 lists the tetraodontid Lagocephalus spadiceus in Benthivores/piscivores; this family record is that family.
